fileIndex,dateIndex,parentFolder,file,uniqueFile,pntsPerLine,numLines,delx,delt,Total Dur (s),Line Length (um),meanInt,minInt,maxInt,rangeInt,signMeanVel,posNegVel,minVel,maxVel,rangeVel,meanVel,medianVel,stdVel,meanVelNoZero,nTotal,nNonNan,nNanTan,nNanOutliers,nNanFinal,percentNanFinal,percentGoodFinal,nZero,Surgery Type,Genotype,Sex,Age,Order,Direction,Depth,declanFile
51,4,20230110,20230110_A6_0006.tif,20230110/20230110_A6_0006.tif,23,30000,0.546,0.00114196666666667,34.259,12.558,35.1766985507246,1,129,128,-1,0,0,1.15428991364813,1.15428991364813,0.699279989130366,0.708845811735272,0.133129357122136,0.701128964478285,7497,7143,32,322,354,4.72,95.28,2,craniotomy,wt,male,young,2,Away,191.4,20230110_A6_0006.tif
52,5,20230110,20230110_A6_0007.tif,20230110/20230110_A6_0007.tif,20,30000,0.606,0.00113396666666667,34.019,12.12,15.37764,0,81,81,1,0,0,0.314789923234828,0.314789923234828,0.105798873009392,0.116031186538988,0.0933145061717267,0.176182975420088,7497,7384,0,113,113,1.51,98.49,2769,craniotomy,wt,male,young,1,Towards,212.6,20230110_A6_0007.tif
53,6,20230110,20230110_A6_0008.tif,20230110/20230110_A6_0008.tif,15,30000,0.676,0.00112596666666667,33.779,10.14,21.7934688888889,1,81,80,-1,0,0,1.14112140196986,1.14112140196986,0.414033446031446,0.508253272326229,0.309530015816049,0.634119256959927,7497,7422,90,-15,75,1,99,2179,craniotomy,wt,male,young,3,Away,283.4,20230110_A6_0008.tif
54,7,20230110,20230110_A6_0009.tif,20230110/20230110_A6_0009.tif,20,30000,0.625,0.00113396666666667,34.019,12.5,15.912175,1,83,82,-1,0,0.331171892376812,1.51430675842247,1.18313486604566,0.954968590799678,0.917288582676511,0.222985003404616,0.955402098227505,7497,7043,9,445,454,6.06,93.94,0,craniotomy,wt,male,young,4,Away,299.2,20230110_A6_0009.tif
55,8,20230110,20230110_A6_0010.tif,20230110/20230110_A6_0010.tif,26,30000,0.529,0.00114596666666667,34.379,13.754,14.5177769230769,1,59,58,1,0,0.230154749114516,0.967804383999806,0.73764963488529,0.631898248205008,0.61818282702592,0.0924900314101853,0.634264879671447,7497,7034,7,456,463,6.18,93.82,0,craniotomy,wt,male,young,3,Towards,480.4,20230110_A6_0010.tif
56,9,20230110,20230110_A6_0012.tif,20230110/20230110_A6_0012.tif,20,30000,0.575,0.00113396666666667,34.019,11.5,20.054675,1,90,89,1,0,0,1.71183820922717,1.71183820922717,0.703217019055395,0.79593980438216,0.373747032876083,0.875485773609128,7497,7304,99,94,193,2.57,97.43,1186,craniotomy,wt,male,young,1,Towards,190.8,20230110_A6_0012.tif
57,10,20230110,20230110_A6_0013.tif,20230110/20230110_A6_0013.tif,13,30000,0.575,0.00112196666666667,33.659,7.475,14.6216153846154,1,72,71,-1,0,0.411319073392988,1.60102750210271,1.18970842870973,1.02469767894145,1.06250784052239,0.219644495229677,1.0291300943958,7497,7120,148,229,377,5.03,94.97,0,craniotomy,wt,male,young,2,Away,202.4,20230110_A6_0013.tif
58,11,20230110,20230110_A6_0014.tif,20230110/20230110_A6_0014.tif,24,30000,0.393,0.00114196666666667,34.259,9.432,23.5115138888889,0,86,86,1,0,0,1.35506687424059,1.35506687424059,0.663462509765509,0.675418951513638,0.21731278936604,0.69918181208782,7497,6738,695,64,759,10.12,89.88,287,craniotomy,wt,male,young,3,Towards,197.6,20230110_A6_0014.tif
59,12,20230110,20230110_A6_0015.tif,20230110/20230110_A6_0015.tif,18,30000,0.691,0.00112996666666667,33.899,12.438,22.7258462962963,1,77,76,-1,0,0.923909659979259,2.49908604125085,1.57517638127159,1.72728863638819,1.7268861653295,0.257714079645454,1.73007209324688,7497,7197,65,235,300,4,96,0,craniotomy,wt,male,young,1,Away,235.4,20230110_A6_0015.tif
60,13,20230110,20230110_A6_0016.tif,20230110/20230110_A6_0016.tif,17,30000,0.476,0.00112996666666667,33.899,8.092,19.4626254901961,1,82,81,1,0,1.33603863765146,2.81865869445036,1.4826200567989,2.08005822394684,2.025244031407,0.358290860437557,2.08005822394684,7497,7421,12,64,76,1.01,98.99,0,craniotomy,wt,male,young,3,Towards,257.2,20230110_A6_0016.tif
61,0,20230112,20230112_A7_0002.tif,20230112/20230112_A7_0002.tif,19,30000,0.633,0.00113396666666667,34.019,12.027,15.901050877193,0,149,149,-1,0,0.701775535920249,1.25377695806582,0.552001422145569,0.971811094441821,0.966861014013728,0.110441427969695,0.971811094441821,7497,7293,0,204,204,2.72,97.28,0,craniotomy,wt,female,young,2,Away,124.4,20230112_A7_0002.tif
62,1,20230112,20230112_A7_0003.tif,20230112/20230112_A7_0003.tif,16,30000,0.759,0.00112596666666667,33.779,12.144,30.8655333333333,1,149,148,-1,0,0,3.72775243730689,3.72775243730689,2.27635585367667,2.31268927279984,0.331155436462169,2.26154656412891,7497,6693,236,568,804,10.72,89.28,1,craniotomy,wt,female,young,1,Away,251.8,20230112_A7_0003.tif
